k,score
1,-115.0074894902142
2,-111.8565559188675
3,-110.0135015425937
4,-107.44264417077959
5,-106.59878453167457
6,-104.75431568446426
7,-103.86748301947725
8,-101.58574438647031
9,-100.41532344538348
10,-99.69015968732965
11,-99.27136019253992
12,-97.72780639680192
13,-96.32161632360756
14,-95.87484804616616
15,-95.05755812497509
16,-94.749845232463
17,-92.40865533186242
18,-93.8667570712784
19,-90.95934770013046
20,-90.55140085796266
21,-90.26065266838195
22,-90.15590308087707
23,-88.1374763168383
24,-88.4978293014238
25,-87.7417504421636
26,-88.07092911337988
27,-87.08803469776983
28,-86.68505824568064
29,-83.9427214434177
30,-84.65677213679955
