item,x,y,label
Acquire the latest electronic technology,8.154641,11.054748,13
Act in a movie,1.2172194,-24.258911,12
Act in a play,0.2729614,-23.973671,12
Act in a television commercial,1.7377076,-25.066298,12
Administer city government,-1.9131976,1.6491991,1
Administer tests to children to identify specific learning differences or difficulties,10.519911,-9.165511,16
Advise people in meeting their professional goals,6.8369746,-0.77961034,16
Analyze a person's credit history,20.258368,15.513487,13
Analyze financial information,19.287205,14.2624855,13
Analyze problems in aircraft design,2.7092474,24.036493,7
Analyze the effects of discrimination on minority groups,2.70581,9.167149,2
Appear in a talent show,-0.30914304,-25.784447,12
Apply mathematical techniques to practical problems,4.185298,18.417194,14
Apply professional skills in a consulting role,7.3152585,0.5649571,16
Arbitrate legal disputes between parties,0.5491479,2.962431,9
Argue for or against an idea,2.4166014,2.4967225,9
Arrange business loans,19.337622,8.394606,13
Arrange play dates for your child,-4.310833,-7.0341854,16
Arrange transportation for your child's and friend's play activities,-3.8092923,-7.20202,3
Arrange travel plans and accommodations,0.6627047,-7.7512574,3
Assess employee opinions of the company,14.948786,1.330841,4
Assess organizational development needs,10.675267,1.1578965,4
Assist people in planning for retirement,17.892778,17.74555,13
Assist people with disabilities to find employment,-10.696509,-4.246075,8
Attend a religious ceremony,-12.611305,-15.002741,15
Be a sales representative for a retail business,25.82669,0.9562287,0
Breed animals in a laboratory,-10.412031,17.210543,10
Build a robot that can perform useful tasks,6.452765,13.321553,7
Calculate the probability of winning a contest,5.6811438,17.058817,14
Care for and plant trees,-13.372631,12.153527,10
Clean offices,-9.577029,0.70850986,1
Clean up trash or debris,-10.325396,1.0964139,1
Coach a sports team,-6.887433,-20.763577,16
Coach people to prepare them for an interview,6.279758,-2.1791174,16
Collect plant samples,-13.111374,14.424086,10
Command a group of soldiers,9.192472,4.4028926,1
Compare cultural differences among groups,1.3125623,9.858096,2
Compose short stories,8.711462,-20.267641,5
Conduct a workshop on time management,9.308772,-2.4324365,4
Conduct an orchestra,-4.52816,-25.466797,16
Conduct career planning workshops,7.9250145,-2.027695,16
Conduct religious ceremonies,-12.3905325,-14.107744,15
Conduct research with growing bacteria,-9.83877,17.684065,10
Conduct seminars,8.183224,-3.3239717,16
Conduct social science experiments,0.51506644,11.335941,2
Conduct surveillance of suspects,-4.7569013,5.8811054,3
Construct wooden cabinets,-0.20927934,-14.509475,7
Convince people about the usefulness of a new gadget,21.020151,3.7923644,0
Cook for your friends and family,-8.175783,-10.4654455,16
Coordinate the activities of all departments in a bank,11.480808,5.8057384,1
Counsel clients with personal problems,-8.334981,-6.1506705,8
Counsel families in crisis,-4.3366194,-3.1070511,8
Create a budget,21.59537,13.233522,13
Create a computer database,10.79007,10.293419,7
Create a sculpture,2.9999712,-15.546609,7
Create an effective classroom atmosphere,9.06212,-5.4430037,16
Create manufacturer's catalogs,16.005507,-13.118762,7
Cultivate personal spirituality,-10.687349,-14.871566,15
Debate the merits of political candidates,2.3086765,1.7237843,16
Defend a client against a legal charge (in a courtroom),1.0931073,4.11974,9
Deliver office furniture,-13.568768,-2.819939,1
Describe features and benefits of a product or service you sell,19.292519,2.8942883,0
Describe the structure of an organic compound,-6.857902,21.922865,10
Design a computer system for an organization,11.695719,8.548152,7
Design a creative work of art,2.741548,-17.102285,7
Design a diagnostic routine for a power plant,-22.399662,13.10735,10
Design a highway overpass,4.022629,25.505577,7
Design a piece of artistic furniture,2.3032432,-16.560108,7
Design a technology system for distance learning,11.70515,-6.243817,16
Design an active learning activity,10.350294,-7.1671653,16
Design an office filing system,15.178792,-7.7759533,7
Design costumes for a movie or play,-1.1202104,-20.786207,7
Design structures that can withstand heavy stresses,3.701707,25.233715,7
Design tests to evaluate students' learning,10.485061,-8.444167,16
Determine customer needs,16.686066,5.0548267,0
Determine the cause of an illness,-7.6875477,15.975899,10
